UIC,Tray-ID,Date,Testing duration,Erasure technician,Final_Grade,Hardware test summary,Mandatory_Test,Mobile name,Market name,Device_Color,BQ_BatteryChargeRange,Mobile IMEI,Mobile IMEI2,_ro.imei.check,ChargingJack,CrackedLens,Fingerprint,FlashLight,HomeKey,PQ_BatteryBulging,PQ_BentonDevicebody,PQ_CrackDevicebody,PQ_DentDevicebody,PQ_HeadphoneJack_3.5mm,PQ_MissingParts,PQ_ScratchChromeSide,PQ_ScratchesBackpanel,PQ_ScratchesDisplay,PQ_ScreenCracked,PQ_Screen_Type,PowerKey,SIMTray,SilentKey,VolumeKey,Carrier signal test,Carrier signal sim 2 test,Wi-fi test,Bluetooth test,Microphone test,Speaker microphone test,Front microphone test,Headset microphone test,Speaker microphone front test,Receiver test,Headset test,Front camera test,Video test,Auto focus test,Camera flash test,Front camera flash test,Battery charging test,Headset test,Touch test,Proximity test,Compass test,Light test,Vibration test,Home key test,Volume keys test,Screen lock key test,Back key test,Recent/Menu key test,Screen test,Live call test,Live call sim 2 test,Screen damage test,Assisted front camera test,Fingerprint test,Multi-touch test,Face ID test,Auto rotation test,Infrared test,FM radio test,Product Version,Product Name,Operating system version,System manufacturer,System model,Mobile internal model,System serial,Operating system name,Total memory,Business name,Business location,Report ID,Rooted,Mobile internal model,FRP,FRP_Status,blancco_data.blancco_hardware_report.system.mdm_status,Operating system name,Operating system version,blancco_data.blancco_hardware_report.hardware_tests.auto_fingerprint,Device color,Disk capacity,AGPS test,Assisted camera test,Silent key test,Speaker test,_ro.ril.miui.imei0,Back camera test
92110007689,WHT1004,4/1/2023 6:09,0:05:17,dealsdray.mohd.aleem,A,successful,,Redmi Note 7S,Redmi Note 7S,Red,81 %+,865179043990098,865179043990106,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,2,0,1,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,10,Xiaomi,Redmi Note 7S,Redmi Note 7S,1b94c445,Android,3GB,,,98390326,Not rooted,Redmi Note 7S,Unlocked,,Unlocked,Android,10,,,32000000000,successful,successful,,successful,865179043990098,successful
92110007666,WHT1004,4/1/2023 6:19,0:01:41,dealsdray.mohd.ali,A,successful,Skiped,M2003J15SC,Redmi Note 9,Blue,81 %+,860377042210089,860377042210097,,Successful,Successful,Successful,Successful,Successful,No,No,0,1,Yes,No,2,1,1,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.14,Blancco Mobile Diagnostics and Erasure,11,Redmi,M2003J15SC,M2003J15SC,1431484a0310,Android,4GB,,,98390712,Not rooted,M2003J15SC,Unlocked,,Unlocked,Android,11,,,64000000000,successful,successful,,successful,860377042210089,successful
92110007688,WHT1004,4/1/2023 7:26,,dealsdray.mohd.ali,,,Re-performed,M2003J15SC,Redmi Note 9,Green,81 %+,860862042073835,860862042073843,,Successful,Successful,Successful,Successful,Successful,No,No,0,3,Yes,No,3,3,6,No,Copy Folder,Successful,Successful,Successful,Successful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14,Blancco Mobile Diagnostics and Erasure,11,Redmi,M2003J15SC,M2003J15SC,19fdf19f0403,Android,4GB,,,98393551,Not rooted,M2003J15SC,Unlocked,,Unlocked,Android,11,,,64000000000,,,,,860862042073835,
92110007412,WHT1004,4/1/2023 10:26,0:01:40,dealsdray.mohd.ali,A,successful,,Redmi Note 8 Pro,Redmi Note 8 pro,Green,81 %+,866163043922870,866163043922888,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,1,1,0,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.14,Blancco Mobile Diagnostics and Erasure,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,fm79cupzgubmmf9x,Android,6GB,,,98401619,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,64000000000,successful,successful,,successful,866163043922870,successful
92110007655,WHT1004,4/1/2023 9:42,0:01:39,dealsdray.mohd.ali,C,failed,,Redmi Note 8 Pro,Redmi Note 8 pro,Black,81 %+,867974044466132,867974044466140,,Successful,Successful,Successful,Successful,Successful,No,No,0,1,Yes,No,2,2,4,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,failed,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.14,Blancco Mobile Diagnostics and Erasure,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,lfiz9x4paq99pv8h,Android,6GB,,,98399683,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,128000000000,successful,successful,,successful,867974044466132,successful
92110007665,WHT1004,4/1/2023 10:51,0:01:26,dealsdray.mohd.ali,C,successful,,Redmi Note 8 Pro,Redmi Note 8 pro,Green,81 %+,869646049538176,869646049538184,,Successful,Successful,Successful,Successful,Successful,No,No,5,0,Yes,No,1,0,1,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.14,Blancco Mobile Diagnostics and Erasure,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,w8nzpjrw6xhm7lk7,Android,6GB,,,98402547,Not rooted,Redmi Note 8 Pro,Locked,,Unlocked,Android,11,,,64000000000,successful,successful,,successful,869646049538176,successful
92110007694,WHT1004,4/1/2023 12:49,0:02:51,pp.sunil.sharma,C,successful,,Redmi Note 8 Pro,Redmi Note 8 pro,Blue,81 %+,866566042688252,866566042688260,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,3,4,5,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,tsv8dydqirg6wcae,Android,6GB,,,98407476,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,128000000000,successful,successful,,successful,866566042688252,successful
92110007686,WHT1004,4/1/2023 12:33,0:03:02,pp.sunil.sharma,C,failed,Re-performed,Redmi Note 8 Pro,Redmi Note 8 pro,White,81 %+,867965044348916,867965044348924,,Successful,Successful,Successful,Successful,Successful,No,No,0,3,Yes,No,3,5,5,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,failed,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,6xl7fyxcz9jnmjjf,Android,6GB,,,98406718,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,128000000000,successful,successful,,successful,867965044348916,successful
92110007459,WHT1004,5/1/2023 4:40,0:05:28,ayush,D,successful,Skiped,Redmi 6A,Redmi 6A,Blue,50-80 %,866616047212713,866616047212721,,Successful,Successful,Successful,Successful,Successful,No,No,0,0,Yes,No,0,1,0,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,not performed,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,successful,,successful,not available,successful,not available,successful,not available,successful,4.14,Blancco Mobile Diagnostics and Erasure,9,Xiaomi,Redmi 6A,Redmi 6A,c1d28c3e7d2c,Android,2GB,,,98476742,Not rooted,Redmi 6A,Unlocked,,Unlocked,Android,9,,,16000000000,not performed,successful,,successful,866616047212713,successful
92110007681,WHT1004,5/1/2023 5:08,0:05:12,pp.sunil.sharma,C,failed,,Redmi Note 8 Pro,Redmi Note 8 pro,White,81 %+,866566043820474,866566043820482,,Successful,Successful,Successful,Successful,Successful,No,No,2,2,Yes,No,4,4,5,No,Original Folder,Successful,Successful,Successful,Successful,successful,successful,successful,successful,successful,successful,,successful,,successful,successful,successful,successful,successful,successful,not available,successful,successful,successful,failed,successful,failed,successful,successful,successful,successful,successful,successful,failed,successful,successful,,successful,successful,successful,not available,successful,successful,successful,4.13.1,Blancco Eraser for Apple Devices,11,Redmi,Redmi Note 8 Pro,Redmi Note 8 Pro,nnhqxkibp79lrkb6,Android,6GB,,,98478383,Not rooted,Redmi Note 8 Pro,Unlocked,,Unlocked,Android,11,,,128000000000,successful,successful,,successful,866566043820474,successful
