"UIC","Tray-ID","Date","Testing duration","Erasure technician","Final_Grade","Hardware test summary","Mandatory_Test","Mobile name","Market name","Device_Color","BQ_BatteryChargeRange","Mobile IMEI","Mobile IMEI2","_ro.imei.check","ChargingJack","CrackedLens","Fingerprint","FlashLight","HomeKey","PQ_BatteryBulging","PQ_BentonDevicebody","PQ_CrackDevicebody","PQ_DentDevicebody","PQ_HeadphoneJack_3.5mm","PQ_MissingParts","PQ_ScratchChromeSide","PQ_ScratchesBackpanel","PQ_ScratchesDisplay","PQ_ScreenCracked","PQ_Screen_Type","PowerKey","SIMTray","SilentKey","VolumeKey","Carrier signal test","Carrier signal sim 2 test","Wi-fi test","Bluetooth test","Microphone test","Speaker microphone test","Front microphone test","Headset microphone test","Speaker microphone front test","Receiver test","Headset test","Front camera test","Video test","Auto focus test","Camera flash test","Front camera flash test","Battery charging test","Headset test","Touch test","Proximity test","Compass test","Light test","Vibration test","Home key test","Volume keys test","Screen lock key test","Back key test","Recent/Menu key test","Screen test","Live call test","Live call sim 2 test","Screen damage test","Assisted front camera test","Fingerprint test","Multi-touch test","Face ID test","Auto rotation test","Infrared test","FM radio test","Product Version","Product Name","Operating system version","System manufacturer","System model","Mobile internal model","System serial","Operating system name","Total memory","Business name","Business location","Report ID","Rooted","Mobile internal model","FRP","FRP_Status","blancco_data.blancco_hardware_report.system.mdm_status","Operating system name","Operating system version","blancco_data.blancco_hardware_report.hardware_tests.auto_fingerprint","Device color","Disk capacity","AGPS test","Assisted camera test","Silent key test","Speaker test","_ro.ril.miui.imei0","Back camera test","Find My iPhone"
"93080714670","WHT1996","2023-08-25 11:24:08","00:03:59","sameer.bqc.ggn.100013","C","failed",,"HD1901","OnePlus 7T","Blue","10-49 %","868539047387418","868539047387400",,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","No","No","3","3","3","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","failed","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","HD1901","HD1901","2ba01a48","Android","8GB",,,"119298268","Not rooted","HD1901","Unlocked",,"Unlocked","Android","12",,,"256000000000","successful","successful",,"successful",,"successful",
"93080714715","WHT10009","2023-08-25 06:22:59","00:03:36","sameer.bqc.ggn.100013","C","failed",,"AC2001","OnePlus Nord","Gray","50-80 %","865276040962334",,,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","No","No","3","3","3","No","Copy Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","failed","successful","successful",,"successful","failed","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","AC2001","AC2001","8c67c680","Android","12GB",,,"119278941","Not rooted","AC2001","Locked",,"Unlocked","Android","12",,,"256000000000","successful","successful",,"successful",,"successful",
"93080714700","WHT10009","2023-08-25 05:10:49","00:02:31","sameer.bqc.ggn.100013","C","failed",,"AC2001","OnePlus Nord","Blue","10-49 %","865295055114151",,,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","No","No","3","3","3","No","Copy Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","failed","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","AC2001","AC2001","4f1303e6","Android","12GB",,,"119274426","Not rooted","AC2001","Locked",,"Unlocked","Android","12",,,"256000000000","successful","successful",,"successful",,"successful",
"93081214915","WHT1100","2023-08-26 11:06:01","00:03:38","sameer.bqc.ggn.100013","C","failed",,"GM1901","OnePlus 7","Blue","10-49 %","869430049300410","869430049300402",,"Successful","Successful","Successful","Successful","Successful","No","No","0","1","No","No","3","3","3","No","Original Folder","Successful","Failed","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","failed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"failed","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","GM1901","GM1901","3bd619c9","Android","6GB",,,"119373739","Not rooted","GM1901","Unlocked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
"93080714907","WHT1100","2023-08-26 12:10:24","00:02:22","sameer.bqc.ggn.100013","C","failed",,"GM1901","OnePlus 7","Blue","10-49 %","869430048383557","869430048383540",,"Successful","Successful","Successful","Successful","Successful","No","No","0","3","No","No","4","5","3","No","Copy Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","failed","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","failed","successful","failed","failed","successful","successful","successful","successful","successful","successful","successful","successful",,"failed","not available","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","GM1901","GM1901","f292fb6d","Android","6GB",,,"119375510","Not rooted","GM1901","Unlocked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
"93080714840","WHT1100","2023-08-26 11:59:07","00:11:01","sameer.bqc.ggn.100013","B","failed",,"GM1901","OnePlus 7","Gray","81 %+","869430040275199","869430040275181",,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","No","No","3","3","2","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","failed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"failed","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","GM1901","GM1901","870041ca","Android","8GB",,,"119374953","Not rooted","GM1901","Unlocked",,"Unlocked","Android","12",,,"256000000000","successful","successful",,"successful",,"successful",
"93081214931","WHT10106","2023-08-28 09:38:31","00:02:55","sameer.bqc.ggn.100013","C","failed",,"AC2001","OnePlus Nord","Blue","10-49 %","865295051700250",,,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","No","No","3","2","2","No","Copy Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","failed","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","AC2001","AC2001","58bc6441","Android","8GB",,,"119451230","Not rooted","AC2001","Locked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
"93081214914","WHT10106","2023-08-28 11:50:43","00:04:31","sameer.bqc.ggn.100013","C","failed",,"AC2001","OnePlus Nord","Blue","10-49 %","865276049287378",,,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","No","No","3","3","4","No","Copy Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","failed","successful","successful",,"successful","failed","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","AC2001","AC2001","07cdd49f","Android","12GB",,,"119459019","Not rooted","AC2001","Locked",,"Unlocked","Android","12",,,"256000000000","successful","successful",,"successful",,"successful",
"93081214960","WHT10106","2023-08-28 11:47:36","00:03:18","sameer.bqc.ggn.100013","D","failed",,"AC2001","OnePlus Nord","Blue","81 %+","865295056725674",,,"Successful","Successful","Successful","Failed","Successful","No","No","0","1","No","Yes","3","3","4","No","Copy Folder","Successful","Failed","Failed","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"failed","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","failed","successful","failed","successful","successful","successful","failed","successful","successful",,"failed","not available","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","AC2001","AC2001","67d2287b","Android","8GB",,,"119458826","Not rooted","AC2001","Locked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
"93081215089","WHT1446","2023-08-28 04:55:03","00:02:25","sameer.bqc.ggn.100013","C","failed",,"Redmi Note 8","Redmi Note 8","Blue","10-49 %","866131047350372","866131047350398",,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","Yes","No","3","3","4","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"successful",,"successful","successful","successful","successful","failed","successful","not available","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","failed","successful","successful",,"failed","successful","successful","failed","successful","successful","successful","5.0.2","Blancco Mobile Diagnostics and Erasure","11","Xiaomi","Redmi Note 8","Redmi Note 8","854495f","Android","6GB",,,"119431256","Not rooted","Redmi Note 8","Unlocked",,"Unlocked","Android","11",,,"128000000000","successful","successful",,"successful","866131047350372","successful",
"93080714696","WHT10009","2023-08-25 06:19:54","00:01:48","sameer.bqc.ggn.100013","C","failed",,"AC2001","OnePlus Nord","Blue","10-49 %","865295052302213","865295052302205",,"Successful","Successful","Successful","Successful","Successful","No","No","0","1","No","No","3","2","2","No","Copy Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","failed","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","AC2001","AC2001","14579ea4","Android","8GB",,,"119278632","Not rooted","AC2001","Unlocked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
"93080714666","WHT1996","2023-08-25 13:06:57","00:02:18","sameer.bqc.ggn.100013","D","successful",,"HD1901","OnePlus 7T","Gray","50-80 %","861894041037817","861894041037809",,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","No","No","3","5","3","Yes","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","HD1901","HD1901","ded46f90","Android","8GB",,,"119307402","Not rooted","HD1901","Unlocked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
"93080714782","WHT1996","2023-08-25 10:49:01","00:18:20","sameer.bqc.ggn.100013","B","successful",,"HD1901","OnePlus 7T","Blue","10-49 %","861894043483696","861894043483688",,"Successful","Successful","Successful","Successful","Successful","No","No","0","0","No","No","3","3","2","No","Original Folder","Successful","Successful","Successful","Successful","successful","successful","successful","successful","successful","successful",,"not performed",,"successful","not performed","successful","successful","successful","successful","not available","successful","not performed","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful","successful",,"successful","successful","successful","successful","successful","not available","not performed","5.0.2","Blancco Mobile Diagnostics and Erasure","12","OnePlus","HD1901","HD1901","dff899a3","Android","8GB",,,"119296382","Not rooted","HD1901","Unlocked",,"Unlocked","Android","12",,,"128000000000","successful","successful",,"successful",,"successful",
